"argomento","codice","domanda","opzione_a","opzione_b","opzione_c","opzione_d","corretta","riferimento"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_020","La tastiera deve essere collocata in modo da:","Permettere l’appoggio degli avambracci e una digitazione confortevole","Costringere i polsi in estensione continua","Essere sempre sul bordo estremo del tavolo","Essere nascosta sotto il monitor","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_021","Il mouse va posizionato preferibilmente:","Vicino alla tastiera e alla stessa altezza operativa","Il più lontano possibile dal corpo","Dietro lo schermo","Sotto il piano di lavoro","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_022","Un sintomo possibile di affaticamento visivo da VDT è:","Bruciore oculare e difficoltà di messa a fuoco","Frattura immediata del polso","Perdita dell’udito da rumore impulsivo","Intossicazione da gas","A","Titolo VII D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_023","La presenza di riflessi sul monitor può essere ridotta:","Orientando schermo e postazione rispetto a finestre e luci","Lucidando lo schermo con prodotti oleosi","Spegnendo tutte le luci di emergenza","Usando solo caratteri minuscoli","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_024","Una corretta illuminazione della postazione VDT deve:","Essere sufficiente e non creare abbagliamenti o contrasti eccessivi","Essere sempre diretta negli occhi","Essere assente per vedere meglio lo schermo","Dipendere solo dal colore della scrivania","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_025","Il sedile di lavoro al VDT dovrebbe essere:","Stabile, regolabile e idoneo a consentire una postura corretta","Rigido, non regolabile e senza schienale","Più basso possibile in ogni caso","Usato solo in posizione sdraiata","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_026","Il poggiapiedi è utile quando:","I piedi non appoggiano comodamente a terra dopo la regolazione della sedia","Si vuole bloccare la sedia","La tastiera non funziona","Si deve sostituire il tappetino del mouse","A","Buone prassi ergonomiche; Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_027","Il software utilizzato al VDT dovrebbe essere:","Adeguato alla mansione e non fonte ingiustificata di stress operativo","Sempre complesso e senza istruzioni","Modificato solo dal lavoratore senza autorizzazione","Privo di qualsiasi messaggio di errore","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_028","La sorveglianza sanitaria per videoterminalisti riguarda in particolare:","Rischi per vista, occhi e apparato muscolo-scheletrico secondo valutazione","Solo il controllo della patente","Solo la misurazione della temperatura corporea","Solo il controllo dell’udito per rumore impulsivo","A","Art. 176 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_029","L’informazione e formazione per VDT deve riguardare anche:","Modalità corrette di uso delle attrezzature e organizzazione del lavoro","Solo il funzionamento commerciale del prodotto","Solo il regolamento ferie","Solo la password del computer","A","Art. 177 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_030","Una cattiva disposizione dello schermo può favorire:","Rotazioni frequenti del collo e affaticamento muscolare","Riduzione automatica del rischio","Maggiore sicurezza elettrica","Eliminazione della necessità di pause","A","Titolo VII D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_031","Durante l’uso prolungato del VDT è buona pratica:","Alternare, quando possibile, attività al videoterminale e attività diverse","Restare immobili per molte ore","Evitare qualunque micro-pausa","Bloccare lo schienale in avanti","A","Art. 175 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_032","Il piano di lavoro deve avere preferibilmente:","Spazio sufficiente per attrezzature, documenti e movimenti","Dimensioni minime tali da obbligare torsioni","Superficie instabile","Bordi taglienti non protetti","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_033","Un documento cartaceo consultato spesso dovrebbe essere posizionato:","In modo da evitare continue torsioni del collo e cambi di fuoco eccessivi","Sempre dietro il lavoratore","Sul pavimento","Sopra la tastiera coprendo i tasti","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_034","La regolazione della postazione VDT deve tenere conto:","Delle caratteristiche del lavoratore e del tipo di attività svolta","Solo del colore del monitor","Solo della marca della sedia","Solo dell’orario di apertura dell’ufficio","A","Art. 174 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_035","Una postazione condivisa da più lavoratori dovrebbe:","Essere facilmente regolabile prima dell’utilizzo","Restare sempre impostata sul primo utilizzatore","Non avere sedia regolabile","Essere usata senza controllare schermo e piano","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_036","Una postura corretta al videoterminale prevede generalmente:","Schiena appoggiata, spalle rilassate e piedi ben sostenuti","Busto ruotato stabilmente verso un lato","Collo piegato in avanti per tutta la giornata","Polsi sempre sollevati e rigidi","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_037","La regolazione dell’altezza della sedia serve a:","Consentire appoggio stabile dei piedi e corretta posizione di braccia e schiena","Aumentare la velocità del computer","Evitare ogni pausa","Tenere lo schermo più luminoso","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_038","Gli avambracci durante la digitazione dovrebbero essere:","Sostenuti o comunque rilassati, senza tensioni eccessive","Sempre sospesi senza appoggio","Incrociati davanti al busto","Tenuti sopra la testa","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_039","Una postura statica mantenuta troppo a lungo può favorire:","Affaticamento muscolare e disturbi muscolo-scheletrici","Eliminazione del rischio posturale","Miglioramento automatico della vista","Assenza di qualsiasi disagio","A","Titolo VII D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_040","Per ridurre il sovraccarico del collo è utile:","Posizionare lo schermo frontalmente e alla giusta altezza","Tenere il monitor lateralmente per obbligare rotazioni","Usare sempre il portatile sulle ginocchia per molte ore","Tenere la testa inclinata senza pause","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_041","L’uso prolungato del notebook senza supporti può essere critico perché:","Può costringere collo, spalle e polsi a posture sfavorevoli","Elimina ogni rischio ergonomico","Migliora sempre la postura","Rende inutili tastiera e mouse esterni","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_042","Quando si usa spesso un notebook come postazione fissa, è preferibile:","Usare supporto, tastiera e mouse esterni quando possibile","Appoggiarlo sempre sulle ginocchia","Tenere lo schermo molto basso","Evitare qualunque regolazione","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_043","La posizione dei piedi durante il lavoro seduto dovrebbe essere:","Stabile, a terra o su poggiapiedi","Sempre sospesa","Incrociata sotto la sedia per molte ore","Appoggiata sui cavi elettrici","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_044","Un piano di lavoro troppo alto può causare:","Sollevamento delle spalle e tensione a collo e trapezi","Riduzione automatica dei disturbi muscolari","Migliore circolazione degli arti inferiori","Nessuna conseguenza possibile","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_045","Un piano di lavoro troppo basso può favorire:","Flessione eccessiva del busto e del collo","Corretta postura obbligatoria","Assenza di affaticamento","Migliore protezione elettrica","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_046","Le micro-variazioni di postura durante la giornata servono a:","Ridurre la staticità e distribuire il carico muscolare","Impedire il lavoro al videoterminale","Aumentare il rumore in ufficio","Sostituire la formazione","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_047","Il corretto posizionamento del telefono usato frequentemente serve a evitare:","Torsioni ripetute del collo o uso del telefono bloccato tra spalla e orecchio","Il rischio elettrico del monitor","La necessità del piano di emergenza","Il rischio incendio","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_048","Il supporto lombare della sedia è utile perché:","Aiuta a mantenere la fisiologica curvatura della schiena","Serve solo a decorare la sedia","Deve spingere il lavoratore in avanti","Sostituisce tutte le pause","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_049","La postazione ergonomica corretta è:","Regolata e adattata alla persona e all’attività","Uguale per tutti senza possibilità di modifica","Determinata solo dal prezzo della sedia","Sempre priva di illuminazione naturale","A","Art. 174 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_050","Per ridurre tensioni a spalle e braccia, tastiera e mouse devono essere:","Vicini al corpo e raggiungibili senza allungamenti eccessivi","Più lontani possibile","Su piani diversi e molto distanti","Sopra il monitor","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_051","I movimenti ripetitivi del videoterminalista riguardano soprattutto:","Digitazione, uso del mouse e gesti ripetuti di mano-polso","Sollevamento di carichi da 50 kg","Uso di martelli pneumatici","Lavori in quota su funi","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_052","Un uso continuativo del mouse senza pause può favorire:","Affaticamento di mano, polso, avambraccio e spalla","Riduzione del carico muscolare","Aumento della sicurezza antincendio","Migliore illuminazione naturale","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_053","Per ridurre il sovraccarico da movimenti ripetitivi è utile:","Alternare compiti e fare pause o cambi di attività quando previsti","Aumentare sempre la forza sul mouse","Usare il mouse con il braccio completamente teso","Eliminare ogni regolazione della sedia","A","Art. 175 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_054","Durante la digitazione i polsi dovrebbero essere:","In posizione il più possibile neutra e non forzata","Piegati stabilmente verso l’alto","Piegati stabilmente verso il basso","Bloccati contro il bordo del tavolo","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_055","Il mouse troppo lontano dal corpo può causare:","Allungamento del braccio e sovraccarico di spalla e collo","Migliore postura obbligatoria","Eliminazione della fatica visiva","Riduzione del bisogno di spazio","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_056","Una misura preventiva contro il sovraccarico mano-polso è:","Regolare posizione di tastiera e mouse e ridurre movimenti inutili","Usare sempre più forza sui tasti","Tenere i gomiti sollevati senza appoggio","Usare il mouse sopra documenti instabili","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_057","I comandi rapidi da tastiera possono essere utili perché:","Riduccono alcuni movimenti ripetitivi del mouse","Eliminano la necessità di illuminazione","Sostituiscono il piano di emergenza","Rendono inutile la valutazione dei rischi","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_058","Un segnale da non sottovalutare durante attività ripetitive è:","Formicolio, dolore o perdita di forza persistente a mano o polso","Maggiore velocità del computer","Colore diverso dello sfondo del desktop","Ricezione di una email","A","Buone prassi ergonomiche; Titolo VII D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_059","La ripetitività diventa più critica quando si combina con:","Posture incongrue, forza e assenza di recupero","Postazione ben regolata e pause adeguate","Illuminazione corretta","Mouse vicino alla tastiera","A","Principi ergonomici"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_060","La prevenzione dei disturbi da movimenti ripetitivi richiede:","Organizzazione del lavoro, corretta postazione e comportamento consapevole","Solo l’acquisto di un computer più veloce","Solo il cambio della password","Solo la chiusura delle finestre","A","Art. 15 e Titolo VII D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_061","Una misura organizzativa utile per il lavoro al VDT è:","Programmare pause o cambi di attività secondo le procedure applicabili","Impedire ogni variazione di compito","Aumentare sempre il tempo continuativo davanti allo schermo","Lasciare cavi e materiali nei passaggi","A","Art. 175 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_062","Prima di iniziare il lavoro al VDT è opportuno:","Regolare sedia, schermo, tastiera e mouse in base alle proprie esigenze","Accendere tutte le apparecchiature senza controlli","Spostare i cavi nei percorsi pedonali","Oscurare ogni fonte di luce","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_063","Una buona organizzazione della scrivania permette di:","Ridurre movimenti inutili, torsioni e ingombri","Aumentare il disordine controllato","Eliminare le procedure di emergenza","Usare prese sovraccaricate","A","Buone prassi ergonomiche"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_064","I cavi elettrici e informatici devono essere gestiti in modo da:","Evitare inciampo, danneggiamento e trazioni accidentali","Essere lasciati liberi nei passaggi","Essere schiacciati sotto sedie e armadi","Essere arrotolati attorno ai piedi della sedia","A","Titolo III D.Lgs. 81/08; buone prassi"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_065","La pulizia periodica di schermo, tastiera e mouse contribuisce a:","Migliorare leggibilità, igiene e comfort d’uso","Aumentare i riflessi intenzionalmente","Sostituire la manutenzione elettrica","Eliminare ogni rischio posturale","A","Allegato XXXIV D.Lgs. 81/08; buone prassi"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_066","La segnalazione di arredi danneggiati o sedie non regolabili è importante perché:","Permette di ripristinare condizioni ergonomiche adeguate","Serve solo a fini estetici","È vietata al lavoratore","Riguarda solo il reparto manutenzione esterna","A","Art. 20 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_067","L’ordine nei percorsi e nelle vie di passaggio serve a prevenire:","Inciampi, urti e difficoltà di evacuazione","Solo affaticamento visivo","Solo errori di battitura","Solo disturbi da rumore impulsivo","A","Titolo V e Art. 64 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_068","La gestione dello stress da lavoro al VDT può essere favorita da:","Chiarezza dei compiti, tempi sostenibili e strumenti adeguati","Software complicati senza formazione","Interruzioni continue non gestite","Assenza di istruzioni operative","A","Art. 28 D.Lgs. 81/08; Allegato XXXIV"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_069","In caso di malfunzionamento del monitor o della sedia, il lavoratore dovrebbe:","Segnalare l’anomalia e non improvvisare riparazioni non autorizzate","Aprire il monitor per verificare i componenti","Continuare sempre senza informare nessuno","Bloccare la sedia con oggetti di fortuna","A","Art. 20 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_070","La formazione efficace sul VDT deve rendere il lavoratore capace di:","Riconoscere rischi, regolare la postazione e adottare comportamenti corretti","Fare manutenzione elettrica interna al PC","Sostituire il medico competente","Ignorare le pause previste","A","Art. 177 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_071","Un ambiente di lavoro confortevole per VDT richiede anche attenzione a:","Illuminazione, rumore, microclima e spazio disponibile","Solo al colore delle pareti","Solo alla marca del computer","Solo alla velocità della rete internet","A","Allegato XXXIV D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_072","Le pause dal VDT dovrebbero essere utilizzate preferibilmente per:","Cambiare attività o postura, evitando di restare nella stessa posizione davanti a un altro schermo","Guardare necessariamente lo smartphone per tutto il tempo","Restare immobili sulla sedia","Recuperare lavoro digitando più velocemente","A","Art. 175 D.Lgs. 81/08; buone prassi"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_073","La valutazione della postazione VDT deve considerare:","Rischi per occhi, postura, affaticamento mentale e condizioni ergonomiche","Solo il consumo elettrico del monitor","Solo la presenza di stampanti","Solo la capienza dell’archivio","A","Art. 174 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_074","Una misura preventiva per evitare inciampi in ufficio è:","Mantenere liberi passaggi e vie di esodo","Stendere prolunghe volanti nei corridoi","Accumulare scatole davanti alle uscite","Lasciare cassetti aperti nei passaggi","A","Art. 64 e Titolo V D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_075","La collaborazione del lavoratore alla prevenzione comprende:","Usare correttamente attrezzature e segnalare condizioni di pericolo","Modificare impianti elettrici senza autorizzazione","Rimuovere cartelli di sicurezza se disturbano","Bloccare le uscite per comodità","A","Art. 20 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_076","Il rischio elettrico per l’utilizzatore riguarda principalmente:","Contatti con parti in tensione, apparecchi danneggiati o uso improprio delle prese","Solo la lentezza del computer","Solo il rumore della ventola","Solo la postura seduta","A","Titolo III D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_077","Una presa o una spina danneggiata deve essere:","Segnalata e non utilizzata fino a verifica/ripristino","Usata se l’apparecchio funziona","Riparata con nastro da chiunque","Bagnata per raffreddarla","A","Titolo III D.Lgs. 81/08; Art. 20"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_078","Le multiprese devono essere usate:","Senza sovraccaricarle e rispettando le indicazioni del produttore","Collegandone molte in cascata","Coprendole con carta e tessuti","Sempre vicino a liquidi","A","Buone prassi rischio elettrico"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_079","È pericoloso collegare molte multiprese una all’altra perché:","Può provocare sovraccarico e surriscaldamento","Riduce automaticamente i consumi","Migliora la messa a terra","Elimina il rischio incendio","A","Buone prassi rischio elettrico"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_080","Prima di pulire un’apparecchiatura elettrica è opportuno:","Spegnere e scollegare secondo le istruzioni, se previsto","Spruzzare liquidi direttamente sulle prese","Aprire l’apparecchio acceso","Usare acqua abbondante sui cavi","A","Buone prassi rischio elettrico"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_081","I cavi elettrici non devono essere:","Schiacciati, tirati, spellati o lasciati nei passaggi","Disposti in modo ordinato","Protetti da canaline idonee","Tenuti lontani da fonti di calore","A","Titolo III D.Lgs. 81/08; buone prassi"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_082","In caso di odore di bruciato da un’apparecchiatura elettrica, è corretto:","Interrompere l’uso, togliere alimentazione se sicuro e avvisare il referente","Continuare a lavorare finché funziona","Coprire l’apparecchio con carta","Versare acqua direttamente sul dispositivo acceso","A","Procedure di emergenza; Titolo III D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_083","Gli utilizzatori ordinari devono effettuare interventi interni su quadri o apparecchiature elettriche?","No, se non sono autorizzati e competenti","Sì, sempre","Sì, se hanno fretta","Sì, se il guasto sembra semplice","A","Titolo III D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_084","L’acqua vicino a prese e apparecchiature elettriche:","Aumenta il pericolo e deve essere evitata","Riduce il rischio elettrico","È utile per raffreddare i cavi","Non è mai un problema","A","Buone prassi rischio elettrico"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_085","Una prolunga usata temporaneamente deve:","Essere integra, idonea e non creare intralcio o inciampo","Essere sempre arrotolata stretta durante l’uso ad alto carico","Passare sotto tappeti senza controllo","Essere tirata per scollegarla","A","Buone prassi rischio elettrico"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_086","Per scollegare una spina è corretto:","Impugnare la spina, non tirare il cavo","Tirare sempre il cavo","Strappare rapidamente il filo","Usare oggetti metallici nella presa","A","Buone prassi rischio elettrico"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_087","La marcatura CE su un’apparecchiatura indica:","Conformità dichiarata ai requisiti applicabili dal fabbricante","Assenza assoluta di ogni rischio in ogni uso","Obbligo di aprire l’apparecchio prima dell’uso","Possibilità di usarla anche se danneggiata","A","Normativa prodotto; buone prassi"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_088","Una lampada da scrivania con cavo spellato deve essere:","Messa fuori uso e segnalata","Usata solo per pochi minuti","Coperta con carta","Riparata dal primo collega disponibile","A","Titolo III D.Lgs. 81/08; Art. 20"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_089","Il quadro elettrico deve essere:","Accessibile al personale autorizzato e non ostruito","Usato come appoggio per scatole","Coperto da armadi o materiali","Aperto da chiunque in caso di dubbio","A","Titolo III D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_090","L’uso corretto delle apparecchiature elettriche prevede:","Rispetto delle istruzioni, segnalazione anomalie e divieto di manomissione","Manomissione delle protezioni se rallentano il lavoro","Uso di apparecchi danneggiati se comodi","Riparazioni improvvisate senza autorizzazione","A","Art. 20 e Titolo III D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_091","Una misura preventiva antincendio in ufficio è:","Non sovraccaricare prese e mantenere ordine e pulizia","Accumulare carta vicino a fonti di calore","Bloccare le uscite con scatoloni","Coprire le apparecchiature surriscaldate","A","Art. 46 D.Lgs. 81/08; D.M. 02/09/2021"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_092","Le vie di esodo devono essere:","Libere, segnalate e facilmente percorribili","Utilizzate come deposito temporaneo","Chiuse a chiave durante l’orario di lavoro","Ostruite per evitare correnti d’aria","A","Art. 64 e 46 D.Lgs. 81/08"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_093","In caso di allarme evacuazione il lavoratore deve:","Seguire le procedure aziendali e raggiungere il punto di raccolta","Finire prima il lavoro al computer","Tornare alla postazione a recuperare oggetti non essenziali","Usare l’ascensore se più comodo","A","Procedure di emergenza; D.M. 02/09/2021"
"Formazione specifica rischio basso - VDT e ufficio","FSRB_094","Durante l’evacuazione è corretto:","Mantenere la calma, non correre e seguire le indicazioni degli addetti","Spingere chi è davanti","Usare percorsi non autorizzati","Rientrare nei locali senza autorizzazione","A","Procedure di emergenza"
