"argomento","codice","domanda","opzione_a","opzione_b","opzione_c","opzione_d","corretta","riferimento"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_013","Il ricorso a un RSPP esterno libera il datore di lavoro dalle proprie responsabilità?","No, il datore di lavoro conserva i propri obblighi e deve verificare l'adeguatezza del servizio","Sì, se il contratto lo prevede","Sì, integralmente","Sì, ma solo per i rischi tecnici","A","Artt. 17, 18 e 31, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_014","Qual è una misura generale di tutela?","Intervenire solo dopo un infortunio","Eliminare i rischi e, ove ciò non sia possibile, ridurli al minimo","Trasferire ogni rischio ai lavoratori","Usare sempre i DPI prima delle protezioni collettive","B","Art. 15, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Ruolo e quadro normativo","DLRSPP_015","La responsabilità amministrativa dell'ente per reati in materia di sicurezza può essere collegata: ","Esclusivamente a violazioni fiscali","Mai a eventi di salute e sicurezza","Al D.Lgs. 231/2001 e, per omicidio o lesioni colpose con violazione antinfortunistica, all'art. 25-septies","Soltanto al codice della strada","C","Art. 30 D.Lgs. 81/2008; art. 25-septies D.Lgs. 231/2001"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_016","La valutazione dei rischi deve riguardare: ","Solo i rischi indicati dall'RLS","Esclusivamente incendio e primo soccorso","Solo i rischi che hanno già causato infortuni","Tutti i rischi per la salute e sicurezza dei lavoratori","D","Artt. 17 e 28, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_017","Il DVR deve contenere i criteri adottati per la valutazione?","Sì, e la scelta dei criteri deve essere improntata a semplicità, brevità e comprensibilità","Solo su richiesta dell'INAIL","Soltanto nelle imprese edili","No, mai","A","Art. 28, c. 2, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_018","Chi collabora con il datore di lavoro alla valutazione dei rischi, quando previsto?","Esclusivamente gli addetti antincendio","RSPP e medico competente","Soltanto il consulente fiscale","Il cliente principale","B","Art. 29, c. 1, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_019","Il RLS deve essere consultato in merito alla valutazione dei rischi?","Solo in caso di infortunio mortale","No","Sì, preventivamente e tempestivamente","Solo dopo l'approvazione del DVR","C","Artt. 29, c. 2, e 50, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_020","Entro quale termine il DVR va rielaborato dopo modifiche significative del processo produttivo o dell'organizzazione?","Entro 5 anni","Solo alla scadenza dell'assicurazione","Non deve essere rielaborato","Entro 30 giorni dalle rispettive causali","D","Art. 29, c. 3, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_021","Il DVR deve individuare le mansioni che espongono a rischi specifici e richiedono: ","Riconosciuta capacità professionale, specifica esperienza, adeguata formazione e addestramento","Un contratto a tempo indeterminato","L'autorizzazione del cliente","Soltanto maggiore anzianità","A","Art. 28, c. 2, lett. f), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_022","Nella valutazione devono essere considerati anche i rischi connessi a: ","Preferenze personali del datore di lavoro","Stress lavoro-correlato, gravidanza, differenze di genere, età e provenienza da altri Paesi","Solo anzianità aziendale","Esclusivamente distanza casa-lavoro","B","Art. 28, c. 1, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_023","Che cosa indica il programma delle misure nel DVR?","Le sole sanzioni disciplinari","I ricavi previsti dall'azienda","Gli interventi ritenuti opportuni per garantire il miglioramento nel tempo dei livelli di sicurezza","L'elenco ferie dei lavoratori","C","Art. 28, c. 2, lett. c), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_024","Nella gerarchia delle misure, quale priorità è corretta?","Informazione al posto di ogni misura tecnica","Nessuna priorità è prevista","DPI prima di qualsiasi altra misura","Protezione collettiva prima della protezione individuale","D","Art. 15, c. 1, lett. i), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_025","Un quasi infortunio (near miss) è utile perché: ","Può rivelare carenze e modalità di accadimento da analizzare prima che si verifichi un danno","Sostituisce automaticamente il DVR","Serve solo a fini assicurativi","Non avendo causato danni può essere ignorato","A","Accordo Stato-Regioni 17/04/2025, Parte II, punto 4"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_026","Qual è lo scopo della valutazione del rischio?","Attribuire una colpa al lavoratore","Individuare pericoli, stimare i rischi e definire misure di prevenzione e protezione","Eliminare la necessità di formazione","Ridurre soltanto i premi assicurativi","B","Artt. 2, 15, 28 e 29, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_027","Il pericolo è: ","Unicamente una violazione documentale","La probabilità matematica di un evento","La proprietà o qualità intrinseca di un fattore avente il potenziale di causare danni","Il danno già avvenuto","C","Art. 2, c. 1, lett. r), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_028","Il rischio è: ","Qualsiasi attrezzatura presente","Solo un evento già denunciato","La certezza che un danno si verifichi","La probabilità di raggiungimento del livello potenziale di danno nelle condizioni di impiego o esposizione","D","Art. 2, c. 1, lett. s), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_029","Le procedure standardizzate per la valutazione dei rischi: ","Possono essere utilizzate nei casi e nei limiti previsti dalla normativa","Sono obbligatorie per tutte le aziende senza eccezioni","Eliminano l'obbligo di individuare le misure","Possono essere usate solo dalle ASL","A","Artt. 6, c. 8, lett. f), e 29, commi 5 e 6, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_030","Il datore di lavoro neo-costituito deve effettuare immediatamente la valutazione dei rischi ed elaborare il DVR: ","Prima di assumere il commercialista","Entro 90 giorni dalla data di inizio dell'attività","Entro 2 anni","Solo dopo il primo infortunio","B","Art. 28, c. 3-bis, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_031","Il DVR può essere custodito su supporto informatico?","Soltanto se non esiste un RLS","No, mai","Sì, nel rispetto delle disposizioni applicabili e con data certa o attestata","Solo con autorizzazione del sindaco","C","Artt. 28, c. 2, e 53, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_032","Il DVR deve individuare le procedure per attuare le misure e: ","Solo il nome del datore di lavoro","Il fatturato di ciascun reparto","Un responsabile esterno in ogni caso","I ruoli dell'organizzazione che vi devono provvedere, assegnati a soggetti con adeguate competenze e poteri","D","Art. 28, c. 2, lett. d), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_033","Nel valutare l'uso di un agente chimico pericoloso, la prima scelta coerente con le misure generali è: ","Valutare eliminazione o sostituzione con un agente o processo meno pericoloso, se tecnicamente possibile","Consegnare solo una circolare","Ignorare la scheda dati di sicurezza","Aumentare il numero di esposti","A","Artt. 15 e 224, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_034","Per i videoterminalisti, la valutazione deve analizzare in particolare: ","Solo la marca del computer","Rischi per vista e occhi, problemi posturali o affaticamento e condizioni ergonomiche e ambientali","Soltanto il consumo elettrico","Esclusivamente la velocità di digitazione","B","Art. 174, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Valutazione dei rischi","DLRSPP_035","Per la movimentazione manuale dei carichi il datore di lavoro deve prioritariamente: ","Affidare sempre il carico al lavoratore più giovane","Fornire guanti senza valutare il compito","Evitare la necessità della movimentazione manuale mediante misure organizzative o mezzi appropriati, ove possibile","Limitarsi a far firmare un modulo","C","Art. 168, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_036","Quale compito appartiene al servizio di prevenzione e protezione?","Eleggere il RLS","Rilasciare giudizi di idoneità sanitaria","Gestire la contabilità","Individuare i fattori di rischio e proporre misure preventive e protettive","D","Art. 33, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_037","Chi nomina il medico competente quando la sorveglianza sanitaria è prevista?","Il datore di lavoro","L'INAIL","Il singolo lavoratore","Il RLS","A","Art. 18, c. 1, lett. a), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_038","La sorveglianza sanitaria è effettuata: ","Per qualunque lavoratore senza relazione ai rischi","Dal medico competente nei casi previsti dalla normativa e quando la valutazione ne evidenzi la necessità nei casi consentiti","Dal preposto durante il turno","Esclusivamente dopo un infortunio","B","Artt. 25 e 41, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_039","In caso di giudizio di inidoneità alla mansione specifica, il datore di lavoro deve: ","Chiedere al RSPP di cambiare il giudizio","Licenziare automaticamente il lavoratore","Attuare le misure indicate dal medico competente e adibire, ove possibile, il lavoratore a mansioni equivalenti o inferiori garantendo il trattamento corrispondente alle mansioni di provenienza","Ignorare il giudizio se il lavoratore non è d'accordo","C","Art. 42, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_040","La riunione periodica è obbligatoria almeno una volta l'anno nelle aziende o unità produttive con: ","Almeno 2 lavoratori","Più di 5 lavoratori","Qualunque numero di lavoratori, senza eccezioni","Più di 15 lavoratori","D","Art. 35, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_041","Chi partecipa normalmente alla riunione periodica?","Datore di lavoro o rappresentante, RSPP, medico competente ove nominato e RLS","Solo datore di lavoro e commercialista","Esclusivamente tutti i clienti","Soltanto gli addetti al primo soccorso","A","Art. 35, c. 1, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_042","Il DUVRI è finalizzato principalmente a: ","Certificare la qualità del prodotto","Valutare e gestire i rischi da interferenze negli appalti","Sostituire sempre il DVR dell'appaltatore","Registrare le ferie","B","Art. 26, c. 3, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_043","Prima di affidare lavori a un'impresa appaltatrice o a un lavoratore autonomo, il datore di lavoro committente deve: ","Trasferire loro tutti i propri obblighi","Richiedere sempre un RSPP esterno comune","Verificarne l'idoneità tecnico-professionale secondo le modalità previste","Controllare soltanto il prezzo","C","Art. 26, c. 1, lett. a), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_044","I lavoratori devono essere informati sui rischi gravi e specifici cui sono esposti e: ","Solo sui risultati economici","Unicamente sui nominativi dei clienti","Esclusivamente dopo un incidente","Sulle misure e attività di protezione e prevenzione adottate","D","Art. 36, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_045","L'addestramento è definito come: ","Il complesso delle attività dirette a far apprendere l'uso corretto di attrezzature, macchine, impianti, sostanze, dispositivi e procedure","Una visita medica preventiva","Una riunione amministrativa","Una comunicazione inviata per e-mail","A","Art. 2, c. 1, lett. cc), D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_046","L'addestramento effettuato deve essere: ","Privo di qualunque evidenza documentale","Tracciato in apposito registro anche informatizzato","Ricordato solo verbalmente dal docente","Comunicata esclusivamente la durata all'INAIL","B","Art. 37, c. 5, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_047","I DPI devono essere impiegati: ","Unicamente nei cantieri","Sempre al posto delle misure collettive","Quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche, protezioni collettive o organizzazione del lavoro","Solo su richiesta scritta del lavoratore","C","Art. 75, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_048","Chi sceglie i DPI adeguati dopo averne valutato caratteristiche e rischi residui?","Il fornitore in piena autonomia","Il lavoratore senza indicazioni","Il cliente","Il datore di lavoro","D","Art. 77, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_049","Nella gestione delle emergenze, il datore di lavoro deve: ","Designare preventivamente i lavoratori incaricati dell'attuazione delle misure previste","Attendere l'emergenza per scegliere gli addetti","Delegare ogni decisione ai visitatori","Limitarsi ad acquistare estintori","A","Artt. 18, c. 1, lett. b), e 43, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Organizzazione della prevenzione","DLRSPP_050","Un lavoratore che, in caso di pericolo grave e immediato, si allontana da una zona pericolosa: ","Deve subire una sanzione automatica","Non può subire pregiudizio e deve essere protetto da conseguenze dannose, salvo comportamenti gravemente negligenti","Perde sempre la retribuzione","Può farlo solo con autorizzazione scritta dell'RSPP","B","Art. 44, D.Lgs. 81/2008"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_051","Secondo l'Accordo Stato-Regioni del 17 aprile 2025, la durata minima del corso per datore di lavoro è: ","4 ore","8 ore","16 ore","48 ore","C","Accordo Stato-Regioni 17/04/2025, Parte II, punto 3"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_052","Per accedere al modulo comune del percorso datore di lavoro che svolge direttamente i compiti del SPP occorre: ","Essere stato eletto RLS","Avere almeno 20 dipendenti","Aver già svolto il modulo C per RSPP","Aver frequentato il corso propedeutico per datore di lavoro","D","Accordo Stato-Regioni 17/04/2025, Parte II, punto 4"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_053","Quanto dura il modulo comune per il datore di lavoro che svolge direttamente i compiti del SPP?","8 ore","12 ore","16 ore","6 ore","A","Accordo Stato-Regioni 17/04/2025, Parte II, punto 4"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_054","Quale settore richiede un modulo tecnico-integrativo specifico di 16 ore per il datore di lavoro che svolge il SPP?","Servizi postali","Costruzioni","Commercio al dettaglio in ogni caso","Attività finanziarie","B","Accordo Stato-Regioni 17/04/2025, Parte II, punto 4"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_055","L'aggiornamento del datore di lavoro deve essere effettuato: ","Solo in caso di infortunio","Ogni anno per 2 ore","Ogni cinque anni per almeno 6 ore","Ogni dieci anni per 4 ore","C","Accordo Stato-Regioni 17/04/2025, Parte III, punto 1.4"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_056","L'aggiornamento del datore di lavoro che svolge i compiti del SPP ha durata minima: ","40 ore ogni cinque anni","4 ore ogni due anni","6 ore ogni cinque anni","8 ore ogni cinque anni dalla conclusione del modulo comune","D","Accordo Stato-Regioni 17/04/2025, Parte III, punto 2"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_057","Per essere ammesso alla verifica finale dei corsi disciplinati dall'Accordo 2025 è richiesta, di regola, una frequenza di almeno: ","90% delle ore","50% delle ore","70% delle ore","80% delle ore","A","Accordo Stato-Regioni 17/04/2025, Parte I, punto 3"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_058","Nel test finale previsto dall'Accordo 2025, il test deve avere almeno 30 domande e si supera con: ","Almeno il 60% di risposte corrette","Almeno il 70% di risposte corrette","Il 100% di risposte corrette","Almeno il 50% di risposte corrette","B","Accordo Stato-Regioni 17/04/2025, Parte IV, punto 6.3"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_059","La videoconferenza sincrona è equiparata alla presenza fisica: ","Esclusivamente per i lavoratori autonomi","Senza alcuna eccezione","Salvo i moduli che prevedono addestramento o prova pratica","Solo per corsi inferiori a 2 ore","C","Accordo Stato-Regioni 17/04/2025, Parte IV, punto 3.2"
"Datore di lavoro RSPP - Formazione e aggiornamento","DLRSPP_060","La verifica dell'efficacia della formazione durante il lavoro serve principalmente a: ","Sostituire la valutazione dei rischi","Evitare ogni aggiornamento futuro","Controllare solo la soddisfazione del discente","Verificare se le competenze apprese vengono applicate e producono comportamenti e risultati coerenti con la sicurezza","D","Accordo Stato-Regioni 17/04/2025, Parte IV, punto 7"
