argomento,codice,domanda,opzione_a,opzione_b,opzione_c,opzione_d,corretta,riferimento
"Formazione generale 4h","FG_016","Che cosa sono le misure di prevenzione?","Misure che agiscono sulla fonte del rischio o sull'organizzazione per ridurre la probabilità di accadimento","Solo i DPI","Solo le procedure di emergenza","Solo i divieti disciplinari","A","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_017","Che cosa sono le misure di protezione?","Misure che intervengono solo dopo l'infortunio","Misure che riducono la gravità del danno, come protezioni collettive o DPI","Solo i cartelli di divieto","Solo le procedure di evacuazione","B","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_018","La formazione dei lavoratori in materia di sicurezza deve essere:","Solo teorica","Solo iniziale, all'assunzione","Adeguata e sufficiente, periodicamente aggiornata e specifica per i rischi dell’attività","Facoltativa","C","Art. 37 D.Lgs. 81/08; Accordi Stato-Regioni"
"Formazione generale 4h","FG_019","Quando deve essere erogata la formazione generale sulla sicurezza?","Dopo 5 anni dall’assunzione","Al momento dell’assunzione o prima che il lavoratore sia esposto ai rischi","Solo in caso di infortunio","Solo su richiesta del lavoratore","B","Art. 37 D.Lgs. 81/08"
"Formazione generale 4h","FG_020","La segnaletica di sicurezza serve a:","Decorare i luoghi di lavoro","Sostituire tutte le altre misure di prevenzione","Fornire indicazioni visive o acustiche sui divieti, obblighi, pericoli e vie di esodo","Indicare le zone fumatori","C","Titolo V D.Lgs. 81/08"
"Formazione generale 4h","FG_021","Un cartello con pittogramma rosso e barra obliqua indica:","Obbligo","Divieto","Pericolo generico","Presenza di DPI","B","Titolo V D.Lgs. 81/08"
"Formazione generale 4h","FG_022","Un cartello con sfondo verde e simboli bianchi indica:","Divieto","Pericolo","Prescrizioni d'obbligo","Segnali di salvataggio e uscite di emergenza","D","Titolo V D.Lgs. 81/08"
"Formazione generale 4h","FG_023","In caso di emergenza/incendio il lavoratore deve:","Uscire subito senza seguire le procedure","Rimanere alla postazione in attesa di istruzioni telefoniche","Seguire le procedure aziendali, usare le vie di esodo indicate e raggiungere il punto di raccolta","Tornare indietro a prendere effetti personali","C","Art. 43-46 D.Lgs. 81/08"
"Formazione generale 4h","FG_024","Chi gestisce l’emergenza in azienda?","Solo il datore di lavoro","Gli addetti alle emergenze (antincendio, primo soccorso, evacuazione) designati e formati","I clienti presenti in azienda","Solo il RLS","B","Art. 18 e 43 D.Lgs. 81/08"
"Formazione generale 4h","FG_025","In caso di infortunio di un collega, il lavoratore deve:","Ignorare l’evento se non è grave","Mettere subito il collega in auto e portarlo in ospedale senza avvisare nessuno","Avvisare gli addetti al primo soccorso e seguire le procedure aziendali","Scattare foto per documentare l’accaduto","C","Art. 45 D.Lgs. 81/08; DM 388/03"
"Formazione generale 4h","FG_026","È obbligatorio segnalare al preposto o datore di lavoro le condizioni di pericolo riscontrate?","Sì, rientra tra gli obblighi del lavoratore","No, è facoltativo","Solo se previsto dal contratto collettivo","Solo se richiesto dal collega","A","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_027","Chi è il preposto ai sensi del D.Lgs. 81/08?","Il lavoratore più anziano","Chi sovrintende all’attività lavorativa e garantisce l'attuazione delle direttive ricevute, controllando la corretta esecuzione","Il consulente esterno","Il medico competente","B","Art. 2 e 19 D.Lgs. 81/08"
"Formazione generale 4h","FG_028","Il lavoratore può rifiutarsi di usare i DPI?","Sì, se li ritiene scomodi","Sì, se è molto esperto","No, deve utilizzarli secondo la formazione ricevuta","Sì, se non ci sono controlli","C","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_029","L'uso di sostanze alcoliche o stupefacenti sul lavoro:","È consentito solo in pausa pranzo","È vietato e può costituire grave rischio per sé e per gli altri","È consentito se il lavoratore si sente in grado di lavorare","È regolato solo dal contratto collettivo","B","Art. 18 D.Lgs. 81/08; Norme su alcol e droga"
"Formazione generale 4h","FG_030","La visita medica di sorveglianza sanitaria viene effettuata:","Per curiosità del medico","Solo su richiesta del lavoratore","Quando prevista dalla valutazione dei rischi per esposizioni specifiche","In nessun caso è prevista","C","Art. 41 D.Lgs. 81/08"
"Formazione generale 4h","FG_031","Il giudizio di idoneità alla mansione:","È un parere informale del RLS","È rilasciato dal medico competente e deve essere comunicato al lavoratore e al datore di lavoro","È una scelta del datore di lavoro","È un documento interno del RSPP","B","Art. 41 D.Lgs. 81/08"
"Formazione generale 4h","FG_032","La riunione periodica sulla sicurezza (nelle aziende che la prevedono) serve a:","Verificare solo il costo dei DPI","Fare marketing aziendale","Valutare l’andamento della sicurezza e pianificare miglioramenti","Organizzare le ferie dei lavoratori","C","Art. 35 D.Lgs. 81/08"
"Formazione generale 4h","FG_033","Quale tra questi è un esempio di misura di prevenzione organizzativa?","Uso del casco","Piano di manutenzione programmata delle attrezzature","Uso dei guanti","Uso della mascherina FFP2","B","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_034","Quale tra questi è un esempio di protezione collettiva?","Elmetto di protezione","Imbracatura di sicurezza","Parapetti e protezioni fisse su scale e bordi","Guanti antitaglio","C","Titolo II D.Lgs. 81/08"
"Formazione generale 4h","FG_035","Qual è l'ordine di priorità corretto nella gestione del rischio?","DPI prima di tutto","Misure organizzative, DPI, poi eliminazione del pericolo","Eliminazione del pericolo, misure tecniche e organizzative, poi DPI","Solo DPI perché sono più semplici","C","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_036","Per i lavoratori neoassunti la formazione sulla sicurezza deve essere:","Erogata solo online","Erogata in lingua che il lavoratore comprende, con contenuti comprensibili e documentata","Facoltativa se il lavoratore ha esperienza","Sostituita da un manuale consegnato alla firma","B","Art. 37 D.Lgs. 81/08"
"Formazione generale 4h","FG_037","Cosa indica il numero di emergenza 112/118?","Numero per informazioni sul traffico","Numero unico di emergenza sanitaria e di soccorso","Numero interno dell’azienda","Numero del custode","B","Sistema emergenza sanitaria"
"Formazione generale 4h","FG_038","Che cosa deve fare il lavoratore prima di utilizzare una nuova attrezzatura?","Improvvisare sulla base dell’esperienza","Chiedere ai colleghi come si usa","Assicurarsi di aver ricevuto informazione, formazione e addestramento adeguati","Usarla solo quando il preposto è assente","C","Art. 73 D.Lgs. 81/08"
"Formazione generale 4h","FG_039","La partecipazione dei lavoratori alla sicurezza:","È un ostacolo all'organizzazione","È un obbligo solo del RLS","È fondamentale per individuare criticità e migliorare le misure di prevenzione","Non è rilevante","C","Art. 20 e 50 D.Lgs. 81/08"
"Formazione generale 4h","FG_040","In caso di dubbio su una procedura di sicurezza, il lavoratore deve:","Decidere da solo come fare","Chiedere indicazioni al preposto o ai referenti della sicurezza","Ignorare la procedura e continuare il lavoro","Sospendere ogni attività senza avvisare nessuno","B","Art. 19-20 D.Lgs. 81/08"
"Formazione generale 4h","FG_041","Quale documento deve essere consultato per conoscere i rischi presenti nel luogo di lavoro?","Il regolamento aziendale","La busta paga","Il DVR","L'organigramma","C","Art. 28 D.Lgs. 81/08"
"Formazione generale 4h","FG_042","Qual è il ruolo principale del medico competente?","Organizzare turni di lavoro","Sorveglianza sanitaria in base ai rischi","Fare controlli fiscali","Controllare le ferie","B","Art. 25-41 D.Lgs. 81/08"
"Formazione generale 4h","FG_043","Chi deve informare i lavoratori sui rischi specifici?","Il datore di lavoro e i preposti","I clienti","Il RLS","La portineria","A","Art. 36-37 D.Lgs. 81/08"
"Formazione generale 4h","FG_044","Il rischio elettrico riguarda:","Solo gli elettricisti","Chiunque possa entrare in contatto con parti in tensione","Solo gli addetti alla manutenzione","Nessuno se l'impianto è nuovo","B","Titolo III D.Lgs. 81/08"
"Formazione generale 4h","FG_045","Che cosa indica un cartello triangolare giallo con bordo nero?","Obbligo","Divieto","Pericolo","Emergenza","C","Titolo V D.Lgs. 81/08"
"Formazione generale 4h","FG_046","Il preposto deve:","Controllare che i lavoratori applichino correttamente le procedure","Firmare le buste paga","Organizzare le attività ricreative","Sostituire il datore di lavoro","A","Art. 19 D.Lgs. 81/08"
"Formazione generale 4h","FG_047","Quale comportamento può aumentare il rischio di infortunio?","Rispettare le procedure","Ignorare la segnalazione di un pericolo","Usare correttamente i DPI","Partecipare alla formazione","B","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_048","Le sostanze pericolose devono essere:","Tenute in qualsiasi contenitore","Etichettate e conservate secondo le norme CLP","Conservate senza etichette per evitare allarmi","Tenute vicino alle fonti di calore","B","Reg. CLP"
"Formazione generale 4h","FG_049","Il rischio rumore è presente quando:","Si lavora in un ambiente molto silenzioso","I livelli superano i valori previsti dalla legge","Si lavora all'aperto","Si usano solo computer","B","Titolo VIII D.Lgs. 81/08"
"Formazione generale 4h","FG_050","Quale tra questi è un rischio ergonomico?","Movimentazione manuale dei carichi","Rumore","Scivolamento su pavimento bagnato","Esposizione a sostanze chimiche","A","Titolo V D.Lgs. 81/08"
"Formazione generale 4h","FG_051","Il rischio da videoterminale riguarda soprattutto:","La vista e la postura","Il rischio elettrico","Il rischio chimico","Le esplosioni","A","Titolo VII D.Lgs. 81/08"
"Formazione generale 4h","FG_052","La pausa al videoterminale va fatta:","Mai, è inutile","Ogni 2 ore per almeno 15 minuti","Ogni 30 minuti","Solo a fine turno","B","Art. 175 D.Lgs. 81/08"
"Formazione generale 4h","FG_053","Movimentare un carico troppo pesante può causare:","Maggiore produttività","Danni alla schiena","Nessun effetto","Calo di attenzione solo dopo giorni","B","Titolo VI D.Lgs. 81/08"
"Formazione generale 4h","FG_054","Il microclima è importante perché:","Influisce sul comfort e sulla salute dei lavoratori","Serve solo per l'estetica","È irrilevante al chiuso","Riguarda solo gli uffici pubblici","A","Titolo II D.Lgs. 81/08"
"Formazione generale 4h","FG_055","L’illuminazione inadeguata può causare:","Miglioramento della vista","Aumento di errori e affaticamento","Maggiore produttività","Nessun impatto","B","Titolo II D.Lgs. 81/08"
"Formazione generale 4h","FG_056","Una via di esodo deve essere:","Bloccata dai materiali","Libera, segnalata e facilmente percorribile","Usata come deposito","Chiusa a chiave","B","Art. 43-46 D.Lgs. 81/08"
"Formazione generale 4h","FG_057","Gli estintori devono essere:","Nascosti per evitare uso improprio","Non segnalati","Disponibili e sottoposti a manutenzione periodica","Utilizzati come fermaporte","C","DM 02/09/21"
"Formazione generale 4h","FG_058","Il piano di emergenza deve contenere:","I nomi dei clienti","Le istruzioni da seguire in caso di incendio o evacuazione","L’elenco dei turni di notte","Il bilancio aziendale","B","Art. 43 D.Lgs. 81/08"
"Formazione generale 4h","FG_059","Le scaffalature devono essere:","Sovraccaricate al massimo","Installate e usate secondo le indicazioni del costruttore","Usate come scale","Senza controlli periodici","B","Buone prassi"
"Formazione generale 4h","FG_060","Il comportamento corretto per prevenire scivolamenti è:","Correre nei corridoi","Segnalare pavimenti bagnati e mantenere l'ordine","Camminare distratti","Usare scarpe lisce","B","Art. 64 D.Lgs. 81/08"
"Formazione generale 4h","FG_061","Chi può utilizzare un carrello elevatore?","Chiunque sappia guidare un’auto","Solo personale formato e abilitato","Il RLS","Il magazziniere inesperto","B","Accordo CSR 22/02/2012"
"Formazione generale 4h","FG_062","La formazione antincendio è obbligatoria per:","Solo i dirigenti","Tutti i lavoratori","Solo gli addetti designati","Solo gli ospiti","C","DM 02/09/21"
"Formazione generale 4h","FG_063","L’uso dello smartphone alla guida di mezzi aziendali è:","Consentito","Consentito solo se in vivavoce e in sicurezza","Sempre vietato","Non regolamentato","B","Codice della Strada"
"Formazione generale 4h","FG_064","La manutenzione delle attrezzature serve a:","Aumentare i rischi","Garantire sicurezza e continuità operativa","Solo a spendere soldi","Non ha effetti","B","Art. 71 D.Lgs. 81/08"
"Formazione generale 4h","FG_065","L’esposizione a sostanze chimiche può causare:","Solo mal di testa","Effetti acuti o cronici sulla salute","Solo irritazioni leggere","Nessun effetto conosciuto","B","Titolo IX D.Lgs. 81/08"
"Formazione generale 4h","FG_066","La consultazione del RLS è prevista:","Solo a Natale","Quando si introducono nuovi rischi o modifiche rilevanti","Mai","Solo in caso di sciopero","B","Art. 50 D.Lgs. 81/08"
"Formazione generale 4h","FG_067","La valutazione dello stress lavoro-correlato è:","Facoltativa","Obbligatoria come gli altri rischi","Applicabile solo nei cantieri","Solo per i dirigenti","B","Art. 28 D.Lgs. 81/08"
"Formazione generale 4h","FG_068","Qual è la postura corretta al videoterminale?","Sedia regolata, schermo all’altezza occhi, piedi appoggiati","Schermo molto basso","Sedia troppo alta","Corpo inclinato in avanti","A","Titolo VII"
"Formazione generale 4h","FG_069","I DPI devono essere:","Scelti a caso","Conformi e marcati CE","Noleggiati dai lavoratori","Decorati liberamente","B","Art. 76-77 D.Lgs. 81/08"
"Formazione generale 4h","FG_070","Un estintore non funzionante deve essere:","Ignorato","Segnalato e sostituito tempestivamente","Riposto in magazzino","Decorato","B","DM 02/09/21"
"Formazione generale 4h","FG_071","Un rischio interferenziale è:","Un rischio non previsto dalla legge","Un rischio generato dalla presenza simultanea di più imprese","Un rischio dei lavoratori autonomi","Un rischio che riguarda solo i visitatori","B","Art. 26 D.Lgs. 81/08"
"Formazione generale 4h","FG_072","Il lavoro in quota è definito quando:","Si lavora a 50 cm da terra","Si lavora a più di 2 metri con rischio caduta","Si sale su una sedia","Si fanno scale domestiche","B","Titolo IV D.Lgs. 81/08"
"Formazione generale 4h","FG_073","Le protezioni collettive hanno priorità sui DPI?","No","Sì","Dipende dai costi","Solo nei cantieri","B","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_074","La formazione deve essere:","Documentata","Solo verbale","Casuale","Sostituibile con autodichiarazione","A","Art. 37 D.Lgs. 81/08"
"Formazione generale 4h","FG_075","La segnalazione di un infortunio è obbligatoria?","No","Sì","Solo se grave","Solo se richiesta dal medico","B","Art. 18 D.Lgs. 81/08"
"Formazione generale 4h","FG_076","La protezione dell’udito deve essere utilizzata quando:","Il rumore supera determinati valori limite","Il rumore è leggero","Si è in pausa","Lo decide il collega","A","Titolo VIII"
"Formazione generale 4h","FG_077","Le vie di esodo devono essere illuminate?","No","Sì, adeguatamente","Solo di giorno","Solo su richiesta lavoratori","B","DM 02/09/21"
"Formazione generale 4h","FG_078","L'obbligo del lavoratore di partecipare alla formazione è:","Facoltativo","Vincolante","Dipende dall'umore","Solo per chi usa macchinari","B","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_079","Una caduta dall'alto può causare:","Ferite lievi","Nessun danno","Lesioni gravi o mortali","Solo perdita di tempo","C","Titolo IV"
"Formazione generale 4h","FG_080","Le scale portatili vanno:","Usate come ponte","Utilizzate e mantenute secondo istruzioni del costruttore","Dipinte a piacere","Posizionate su superfici instabili","B","Titolo III"
"Formazione generale 4h","FG_081","Quando un'attrezzatura risulta danneggiata o non funzionante, il lavoratore deve:","Continuare ad usarla fino a fine turno","Segnalare subito al preposto o al datore di lavoro","Ripararla autonomamente","Ignorare il problema","B","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_082","Qual è la funzione principale dei dispositivi di protezione collettiva (DPC)?","Proteggere un singolo lavoratore","Ridurre o eliminare il rischio per tutti i lavoratori esposti","Essere un’alternativa più economica ai DPI","Essere usati solo nei cantieri","B","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_083","Qual è un esempio di comportamento sicuro?","Usare strumenti rotti","Ignorare i cartelli di avviso","Segnalare pericoli e anomalie","Spostare la segnaletica temporanea","C","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_084","Una buona postura in ufficio serve a:","Evitare solo mal di testa","Ridurre affaticamento muscolare e problemi alla schiena","Aumentare la velocità di battitura","Migliorare il colore del monitor","B","Titolo VII"
"Formazione generale 4h","FG_085","Chi deve coordinare le attività quando in azienda operano più imprese?","Il RLS","Il datore di lavoro committente","Il portiere","Ogni lavoratore autonomamente","B","Art. 26 D.Lgs. 81/08"
"Formazione generale 4h","FG_086","Il registro della formazione deve essere:","Facoltativo","Aggiornato e conservato","Consegnato ai clienti","Distrutto ogni anno","B","Art. 37 D.Lgs. 81/08"
"Formazione generale 4h","FG_087","Un comportamento non sicuro può portare a:","Nessuna conseguenza","Riduzione dei rischi","Incidenti e infortuni","Maggiore produttività","C","Art. 20 D.Lgs. 81/08"
"Formazione generale 4h","FG_088","Il rischio incendio aumenta se:","Si mantengono libere le vie di esodo","Si usano materiali facilmente infiammabili vicino a fonti di calore","Si rispettano le procedure","Sono presenti estintori funzionanti","B","DM 02/09/21"
"Formazione generale 4h","FG_089","In presenza di fumo durante un incendio è consigliato:","Alzarsi in piedi","Camminare bassi vicino al pavimento","Aprire tutte le porte","Usare l’ascensore","B","Buone prassi emergenza"
"Formazione generale 4h","FG_090","Quale di queste NON è una misura di prevenzione?","Formazione","Manutenzione programmata","Dispositivi di protezione collettiva","Riparazione improvvisata dei DPI","D","Art. 15 D.Lgs. 81/08"
"Formazione generale 4h","FG_091","Il rischio chimico può derivare da:","Uso di sostanze pericolose","Lettura documenti","Uso del computer","Ascoltare musica","A","Titolo IX"
"Formazione generale 4h","FG_092","Le schede di sicurezza (SDS) devono essere:","In lingua italiana e aggiornate","In una lingua qualsiasi","Solo per sostanze non pericolose","Conservate dai lavoratori a casa","A","REACH"
"Formazione generale 4h","FG_093","Se un collega si sente male improvvisamente, il lavoratore deve:","Ignorare la situazione","Chiamare gli addetti al primo soccorso","Portarlo al bar","Filmargli l'episodio","B","DM 388/03"
"Formazione generale 4h","FG_094","Il lavoro notturno può aumentare i rischi per:","Affaticamento e attenzione ridotta","Produttività","Ottimismo","Colori della segnaletica","A","Art. 28"
"Formazione generale 4h","FG_095","La distrazione sul lavoro è:","Una causa frequente di infortuni","Sempre innocua","Utilizzata per migliorare la sicurezza","Irrilevante se si usa DPI","A","Buone prassi"
"Formazione generale 4h","FG_096","Chi deve fornire l’addestramento pratico all’utilizzo di attrezzature?","Il medico","Il collega più esperto","Il datore di lavoro tramite personale competente","Il RLS","C","Art. 73"
"Formazione generale 4h","FG_097","Un carico va sollevato:","Con la schiena curva","Usando la forza delle braccia","Tenendo la schiena dritta e piegando le gambe","A scatti","C","Titolo VI"
"Formazione generale 4h","FG_098","Il rischio biologico riguarda:","Solo gli ospedali","Tutte le attività con possibile contatto con agenti biologici","Solo i laboratori universitari","Solo chi ha animali domestici","B","Titolo X"
"Formazione generale 4h","FG_099","Il rischio esplosione è regolato da:","ALLEGATO LVX","Titolo XI (ATEX)","Codice Stradale","Titolo VII","B","Titolo XI D.Lgs. 81/08"
"Formazione generale 4h","FG_100","Quale tra questi comportamenti aumenta il rischio elettrico?","Usare prese integre","Tirare i cavi per scollegare la spina","Segnalare prese rotte","Usare attrezzature certificate","B","Titolo III"
"Formazione generale 4h","FG_101","Un cavo danneggiato deve essere:","Riparato con nastro adesivo","Ignorato","Segnalato e tolto dal servizio","Usato con attenzione","C","Titolo III"
"Formazione generale 4h","FG_102","Le cadute in piano avvengono spesso per:","Pavimenti scivolosi o disordine","Rumore elevato","Monitor troppo luminosi","Smartphone spento","A","Art. 64"
"Formazione generale 4h","FG_103","Chi deve verificare la corretta applicazione delle norme di sicurezza?","I clienti","Il preposto","Il fornitore","Il bar interno","B","Art. 19"
"Formazione generale 4h","FG_104","Cos’è un DPI di terza categoria?","Un DPI estetico","Un DPI contro rischi gravi o mortali","Un oggetto decorativo","Una cintura porta attrezzi","B","Art. 74-77"
"Formazione generale 4h","FG_105","Il lavoratore deve partecipare alle visite mediche:","Solo se vuole","Quando previste dalla sorveglianza sanitaria","Mai","Solo quando malato","B","Art. 41"
"Formazione generale 4h","FG_106","Le procedure aziendali servono a:","Avere più documenti","Garantire comportamenti uniformi e sicuri","Confondere i lavoratori","Ridurre la formazione","B","Art. 18"
"Formazione generale 4h","FG_107","Qual è il primo obiettivo della prevenzione?","Eliminare o ridurre il rischio","Sostituire i lavoratori","Creare più cartelli","Aumentare la velocità di produzione","A","Art. 15"
"Formazione generale 4h","FG_108","Quando una porta tagliafuoco deve restare aperta?","Sempre","Mai, se non dotata di sistemi certificati","Durante le pause","Di notte","B","DM 02/09/21"
"Formazione generale 4h","FG_109","L’uso dell’estintore richiede:","Addestramento","Nessuna competenza","Una laurea","Solo il consenso del collega","A","DM 02/09/21"
"Formazione generale 4h","FG_110","Quale delle seguenti NON è una fase della gestione dell’emergenza?","Allarme","Evacuazione","Raccolta","Decorazione locali","D","Art. 43"
"Formazione generale 4h","FG_111","Un rischio meccanico può essere causato da:","Pezzi in movimento","Luce solare","Software obsoleti","Temperature ambiente","A","Titolo III"
"Formazione generale 4h","FG_112","Un ambiente disordinato può:","Ridurre il rischio","Aumentare gli infortuni","Migliorare il benessere","Non influire","B","Art. 64"
"Formazione generale 4h","FG_113","La manutenzione di emergenza è:","Una riparazione improvvisata","Un intervento programmato","Una riparazione eseguita da personale competente","Un controllo estetico","C","Art. 71"
"Formazione generale 4h","FG_114","Le scale devono essere usate:","Tenendo sempre tre punti di contatto","Con le mani in tasca","Di corsa","Spingendo lateralmente","A","Titolo III"
"Formazione generale 4h","FG_115","Il rischio videoterminale aumenta se:","La postazione è ergonomica","Lo schermo è abbagliante o mal posizionato","Si fanno pause regolari","La sedia è regolata correttamente","B","Titolo VII"
"Formazione generale 4h","FG_116","Una buona illuminazione deve essere:","Adeguata e non abbagliante","Molto intensa sempre","Solo da neon","Solo naturale","A","Titolo II"
"Formazione generale 4h","FG_117","Per prevenire incendi è utile:","Sovraccaricare prese","Controllare regolarmente impianti elettrici","Tenere materiali infiammabili vicino al calore","Bloccare le uscite","B","DM 02/09/21"
"Formazione generale 4h","FG_118","Il preposto deve intervenire quando:","Vede comportamenti pericolosi","Ha finito il turno","Il lavoratore è esperto","Nessuno lo ascolta","A","Art. 19"
"Formazione generale 4h","FG_119","L’uso di macchinari senza formazione è:","Consentito","Molto rischioso e vietato","Accettabile solo di notte","Accettabile per i nuovi assunti","B","Art. 73"
"Formazione generale 4h","FG_120","Una procedura di emergenza deve essere:","Complicata","Semplice, chiara e conosciuta da tutti","Segreta","Non documentata","B","Art. 43"
"Formazione generale 4h","FG_121","Cosa indica la segnaletica di divieto?","Un comportamento consigliato","Un’azione vietata","Una via di fuga","Un dispositivo obbligatorio","B","UNI EN ISO 7010"
"Formazione generale 4h","FG_122","Le vibrazioni possono causare:","Nessun effetto","Disturbi osteoarticolari","Aumento della vista","Solo fastidio temporaneo","B","Titolo VIII"
"Formazione generale 4h","FG_123","Qual è la prima cosa da fare in caso di incendio?","Spegnere da soli","Lanciare l’allarme","Tornare alla scrivania","Aprire tutte le finestre","B","DM 02/09/21"
"Formazione generale 4h","FG_124","Cos’è un quasi infortunio?","Un evento senza alcun rischio","Un evento che avrebbe potuto causare un danno","Un successo produttivo","Un comportamento virtuoso","B","Buone prassi"
"Formazione generale 4h","FG_125","Il rischio rumore aumenta quando:","I macchinari sono silenziati","Si superano gli 85 dB(A)","Si usano cuffie","L’ambiente è vuoto","B","Titolo VIII"
"Formazione generale 4h","FG_126","Cosa significa 'riduzione del rischio alla fonte'?","Compensare con DPI","Intervenire direttamente sul pericolo","Aggiornare solo i documenti","Aumentare la produttività","B","Art. 15"
"Formazione generale 4h","FG_127","Un comportamento scorretto è:","Usare attrezzi adeguati","Fare manutenzione regolare","Rimuovere protezioni per comodità","Segnalare anomalie","C","Art. 20"
"Formazione generale 4h","FG_128","Perché è importante la formazione iniziale dei neoassunti?","Per motivi amministrativi","Per ridurre errori e infortuni","Per aumentare l’ansia lavorativa","Per ridurre gli stipendi","B","Art. 37"
"Formazione generale 4h","FG_129","Il RLS ha diritto a:","Conoscere i rischi e consultare la documentazione","Sostituire il RSPP","Sanzionare i colleghi","Eseguire visite mediche","A","Art. 50"
"Formazione generale 4h","FG_130","Qual è lo scopo della manutenzione preventiva?","Attendere che il guasto avvenga","Evitare guasti e migliorare la sicurezza","Ridurre la qualità dei macchinari","Fare meno controlli","B","Art. 71"
