"argomento","codice","domanda","opzione_a","opzione_b","opzione_c","opzione_d","corretta","riferimento"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_019","La separazione alla fonte favorisce:","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Un recupero più efficace e con minori contaminazioni","Riguarda esclusivamente gli enti pubblici","C","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Prevenzione e gerarchia","AMB_020","Un obiettivo ambientale misurabile può essere:","Non richiede controlli o registrazioni","Ridurre del 10% i rifiuti indifferenziati entro una data definita","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Artt. 179-181 D.Lgs. 152/2006; Dir. 2008/98/CE"
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_021","La classificazione di un rifiuto spetta in primo luogo a:","Il produttore del rifiuto","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_022","Il codice EER descrive:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","La tipologia e l'origine del rifiuto secondo l'elenco europeo","D","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_023","Un codice EER contrassegnato da asterisco identifica:","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","Un rifiuto pericoloso","È sufficiente procedere come si è sempre fatto","C","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_024","Per scegliere il codice EER occorre considerare anzitutto:","Si applica solo dopo un incidente","Il processo che ha generato il rifiuto","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_025","I codici specchio richiedono:","La valutazione delle sostanze presenti e delle caratteristiche di pericolo","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_026","L'aspetto visivo è sufficiente per classificare un rifiuto?","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","No, deve essere valutata origine, composizione e, se necessario, analisi","D","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_027","Un contenitore vuoto contaminato da sostanze pericolose può:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Richiedere una classificazione come rifiuto pericoloso","È sempre una scelta discrezionale del singolo operatore","C","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_028","La scheda di sicurezza di una sostanza può aiutare a:","Può essere deciso senza conoscere il rifiuto","Ricostruire composizione e pericoli del rifiuto generato","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_029","Il codice EER deve essere attribuito:","Prima dell'avvio del rifiuto alla gestione","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Classificazione dei rifiuti","AMB_030","Se cambia il processo produttivo, la classificazione dei rifiuti deve:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Essere riesaminata","D","Art. 184 D.Lgs. 152/2006; Decisione 2000/532/CE e s.m.i."
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_031","Le caratteristiche HP indicano:","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Le caratteristiche di pericolo dei rifiuti","Riguarda esclusivamente gli enti pubblici","C","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_032","Prima di unire residui diversi occorre:","Non richiede controlli o registrazioni","Verificarne compatibilità chimica e ammissibilità normativa","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_033","Un rifiuto infiammabile deve essere tenuto lontano da:","Fonti di calore, scintille e fiamme","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_034","Acidi e basi concentrate devono essere:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Separati per evitare reazioni pericolose","D","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_035","Un contenitore rigonfio o che sviluppa gas deve:","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","Essere isolato e gestito secondo la procedura di emergenza","È sufficiente procedere come si è sempre fatto","C","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_036","I rifiuti ossidanti possono:","Si applica solo dopo un incidente","Intensificare un incendio a contatto con combustibili","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_037","Per manipolare rifiuti pericolosi occorre usare:","I DPI previsti dalla valutazione e dalla procedura","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_038","La diluizione di un rifiuto pericoloso per ridurne formalmente la pericolosità è:","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non una corretta modalità di classificazione o gestione","D","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_039","Un'etichetta illeggibile su un rifiuto pericoloso richiede:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Messa in sicurezza e ripristino dell'identificazione","È sempre una scelta discrezionale del singolo operatore","C","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Pericolosità e incompatibilità","AMB_040","La compatibilità dei materiali del contenitore va verificata rispetto a:","Può essere deciso senza conoscere il rifiuto","Proprietà chimiche e fisiche del rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Reg. (UE) 1357/2014; Reg. (UE) 2017/997; Parte IV D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_041","Il deposito temporaneo prima della raccolta avviene:","Nel luogo in cui i rifiuti sono prodotti, alle condizioni di legge","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_042","Nel deposito temporaneo i rifiuti devono essere raggruppati:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Per categorie omogenee e nel rispetto delle norme tecniche","D","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_043","I rifiuti pericolosi nel deposito temporaneo devono rispettare:","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Norme su imballaggio ed etichettatura delle sostanze pericolose","Riguarda esclusivamente gli enti pubblici","C","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_044","Il criterio temporale ordinario per l'avvio a recupero o smaltimento è almeno:","Non richiede controlli o registrazioni","Trimestrale, indipendentemente dalle quantità","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_045","In alternativa al criterio temporale si può usare il criterio quantitativo entro:","30 m³ complessivi, di cui al massimo 10 m³ pericolosi","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_046","Se si supera il limite quantitativo annuo scelto, il conferimento deve avvenire:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Almeno una volta l'anno","D","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_047","Il deposito temporaneo può essere collocato liberamente presso un'altra azienda?","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","No, salvo specifiche condizioni previste dalla legge","È sufficiente procedere come si è sempre fatto","C","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_048","L'area di deposito deve essere:","Si applica solo dopo un incidente","Organizzata, identificata e accessibile al solo personale autorizzato","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_049","La pavimentazione del deposito deve aiutare a:","Prevenire infiltrazioni e facilitare raccolta e pulizia","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Deposito temporaneo","AMB_050","I quantitativi presenti nel deposito devono essere:","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Controllati per rispettare criteri e capacità disponibili","D","Art. 185-bis D.Lgs. 152/2006"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_051","Un contenitore per rifiuti deve essere:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Integro, compatibile e idoneo al contenuto","È sempre una scelta discrezionale del singolo operatore","C","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_052","Ogni recipiente deve consentire di riconoscere:","Può essere deciso senza conoscere il rifiuto","Il rifiuto contenuto e il relativo codice EER","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_053","I contenitori devono rimanere normalmente:","Chiusi, salvo le operazioni necessarie di conferimento","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_054","Riempire un contenitore oltre la capacità sicura può causare:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Sversamenti e difficoltà di movimentazione","D","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_055","Per i liquidi è buona pratica usare:","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Bacini di contenimento dimensionati e compatibili","Riguarda esclusivamente gli enti pubblici","C","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_056","Un fusto danneggiato deve essere:","Non richiede controlli o registrazioni","Messo in sicurezza e sostituito secondo procedura","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_057","L'etichetta va applicata:","In posizione visibile e mantenuta leggibile","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_058","Contenitori simili con rifiuti diversi devono essere:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Chiaramente distinti per evitare errori","D","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_059","Prima di riutilizzare un contenitore per un altro rifiuto occorre:","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","Verificare pulizia, compatibilità e autorizzazione della procedura","È sufficiente procedere come si è sempre fatto","C","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Contenitori ed etichettatura","AMB_060","I rifiuti polverulenti devono essere contenuti in modo da:","Si applica solo dopo un incidente","Evitare dispersioni nell'ambiente di lavoro e all'esterno","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Art. 185-bis D.Lgs. 152/2006; norme tecniche e ADR ove applicabile"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_061","La carta sporca di sostanze chimiche va conferita:","Secondo la classificazione e la procedura, non automaticamente con la carta pulita","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_062","Un imballaggio con residui deve essere:","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Valutato in base al residuo e alla possibilità di bonifica","D","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_063","I rifiuti organici devono essere gestiti in modo da:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Limitare odori, percolati e infestanti","È sempre una scelta discrezionale del singolo operatore","C","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_064","Le pile esauste vanno:","Può essere deciso senza conoscere il rifiuto","Raccolte separatamente in contenitori idonei","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_065","Le lampade esauste devono essere:","Protette dalla rottura e raccolte nel flusso dedicato","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_066","Toner e cartucce esauste devono essere:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Conferiti nei contenitori e circuiti previsti","D","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_067","Il vetro rotto richiede:","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Un contenitore rigido e procedure contro tagli e dispersioni","Riguarda esclusivamente gli enti pubblici","C","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_068","I filtri contaminati devono essere:","Non richiede controlli o registrazioni","Classificati considerando le sostanze trattenute","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_069","Gli assorbenti usati per uno sversamento devono essere:","Gestiti tenendo conto della sostanza assorbita","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Raccolta differenziata operativa","AMB_070","La segnaletica sui punti di raccolta deve essere:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Chiara, coerente e comprensibile agli utilizzatori","D","Artt. 179-182 D.Lgs. 152/2006; procedure aziendali"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_071","La tracciabilità serve a:","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","Ricostruire produzione, movimentazione e destinazione dei rifiuti","È sufficiente procedere come si è sempre fatto","C","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_072","Il registro cronologico riporta, secondo gli obblighi applicabili:","Si applica solo dopo un incidente","Carichi e scarichi dei rifiuti","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_073","I dati registrati devono essere:","Veritieri, completi e coerenti con i documenti","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","A","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_074","Una correzione documentale deve essere:","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Tracciabile e conforme alle modalità previste","D","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_075","Il peso indicato alla partenza può essere:","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","Stimato, se previsto, con verifica a destino","È sempre una scelta discrezionale del singolo operatore","C","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_076","I documenti ambientali devono essere conservati:","Può essere deciso senza conoscere il rifiuto","Per il periodo previsto dalla normativa applicabile","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","B","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_077","Una differenza anomala di peso richiede:","Verifica e gestione della non conformità","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","A","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_078","Il collegamento tra carico e scarico permette di:","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","Dimostrare la movimentazione del rifiuto","D","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_079","Chi compila dati sui rifiuti deve:","È sempre una scelta discrezionale del singolo operatore","È sufficiente procedere come si è sempre fatto","Essere formato sulle procedure e sui dati necessari","Riguarda esclusivamente gli enti pubblici","C","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Tracciabilità e registri","AMB_080","Le registrazioni vanno effettuate:","Non richiede controlli o registrazioni","Nei termini previsti per la categoria del soggetto","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","B","Artt. 188-bis, 190 e 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Formulario e trasporto","AMB_081","Il formulario accompagna di regola:","Il trasporto dei rifiuti","È sufficiente procedere come si è sempre fatto","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","A","Art. 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Formulario e trasporto","AMB_082","Prima della partenza occorre verificare:","Può essere deciso senza conoscere il rifiuto","Si applica solo dopo un incidente","Non richiede controlli o registrazioni","Coerenza tra rifiuto, codice, quantità, colli e destinatario","D","Art. 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Formulario e trasporto","AMB_083","Il conducente deve ricevere:","Riguarda esclusivamente gli enti pubblici","È sempre una scelta discrezionale del singolo operatore","La documentazione prevista correttamente compilata","È sufficiente procedere come si è sempre fatto","C","Art. 193 D.Lgs. 152/2006; D.M. 59/2023"
"Gestione ambientale operativa - Formulario e trasporto","AMB_084","Un trasportatore deve essere:","Si applica solo dopo un incidente","Abilitato per la tipologia di rifiuto e l'attività svolta","Non richiede controlli o registrazioni","Può essere deciso senza conoscere il rifiuto","B","Art. 193 D.Lgs. 152/2006; D.M. 59/2023"
